algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	79.02	79.02	5	0	5	25	25	5	4970	24850	0.314	0	5	71	recv	1
0	89.39	89.39	5	1	5	25	25	5	4970	24850	0.278	0	5	71	recv	1
0	81.88	81.88	5	2	5	25	25	5	4970	24850	0.303	0	5	71	recv	1
0	74.27	74.27	5	4	5	25	25	5	4970	24850	0.335	0	5	71	recv	1
0	210.3	210.3	5	0	5	100	100	80	1065	85200	0.405	0	5	71	recv	1
0	200.2	200.2	5	1	5	100	100	80	1065	85200	0.426	0	5	71	recv	1
0	242.1	242.1	5	2	5	100	100	80	1065	85200	0.352	0	5	71	recv	1
0	381	381	5	4	5	100	100	80	1065	85200	0.224	0	5	71	recv	1
0	146.6	146.6	5	0	5	625	625	3125	142	443750	3.03	0	5	71	recv	1
0	146.3	146.3	5	1	5	625	625	3125	142	443750	3.03	0	5	71	recv	1
0	227.3	227.3	5	2	5	625	625	3125	142	443750	1.95	0	5	71	recv	1
0	230.3	230.3	5	4	5	625	625	3125	142	443750	1.93	0	5	71	recv	1
0	193.7	193.7	5	0	5	1000	1000	8000	71	568000	2.93	0	5	71	recv	1
0	193.8	193.8	5	1	5	1000	1000	8000	71	568000	2.93	0	5	71	recv	1
0	241.5	241.5	5	2	5	1000	1000	8000	71	568000	2.35	0	5	71	recv	1
0	237.1	237.1	5	4	5	1000	1000	8000	71	568000	2.4	0	5	71	recv	1
2	117.3	5.918	5	0	5	25	25	5	4970	1253.45	0.212	0	5	71	recv	1
2	115.4	5.818	5	1	5	25	25	5	4970	1253.45	0.215	0	5	71	recv	1
2	100.3	5.057	5	2	5	25	25	5	4970	1253.45	0.248	0	5	71	recv	1
2	101.8	5.134	5	4	5	25	25	5	4970	1253.45	0.244	0	5	71	recv	1
2	384.6	19.53	5	0	5	100	100	80	1065	4326	0.222	0	5	71	recv	1
2	273.9	13.91	5	1	5	100	100	80	1065	4326	0.311	0	5	71	recv	1
2	276	14.01	5	2	5	100	100	80	1065	4326	0.309	0	5	71	recv	1
2	387.4	19.67	5	4	5	100	100	80	1065	4326	0.22	0	5	71	recv	1
2	320.3	18.52	5	0	5	625	625	3125	142	25666.2	1.39	0	5	71	recv	1
2	376.4	21.77	5	1	5	625	625	3125	142	25666.2	1.18	0	5	71	recv	1
2	297.7	17.22	5	2	5	625	625	3125	142	25666.2	1.49	0	5	71	recv	1
2	358.4	20.73	5	4	5	625	625	3125	142	25666.2	1.24	0	5	71	recv	1
2	323	20.56	5	0	5	1000	1000	8000	71	36154	1.76	0	5	71	recv	1
2	379.2	24.13	5	1	5	1000	1000	8000	71	36154	1.5	0	5	71	recv	1
2	296.4	18.86	5	2	5	1000	1000	8000	71	36154	1.92	0	5	71	recv	1
2	352.1	22.41	5	4	5	1000	1000	8000	71	36154	1.61	0	5	71	recv	1
3	117.3	5.916	5	0	5	25	25	5	4970	1253.45	0.212	0	5	71	recv	1
3	112.5	5.674	5	1	5	25	25	5	4970	1253.45	0.221	0	5	71	recv	1
3	93.86	4.734	5	2	5	25	25	5	4970	1253.45	0.265	0	5	71	recv	1
3	89.54	4.517	5	4	5	25	25	5	4970	1253.45	0.278	0	5	71	recv	1
3	378.7	19.23	5	0	5	100	100	80	1065	4326	0.225	0	5	71	recv	1
3	278.8	14.16	5	1	5	100	100	80	1065	4326	0.306	0	5	71	recv	1
3	342.3	17.38	5	2	5	100	100	80	1065	4326	0.249	0	5	71	recv	1
3	494.8	25.12	5	4	5	100	100	80	1065	4326	0.172	0	5	71	recv	1
3	377.2	21.81	5	0	5	625	625	3125	142	25666.2	1.18	0	5	71	recv	1
3	295.8	17.11	5	1	5	625	625	3125	142	25666.2	1.5	0	5	71	recv	1
3	415.8	24.05	5	2	5	625	625	3125	142	25666.2	1.07	0	5	71	recv	1
3	527	30.48	5	4	5	625	625	3125	142	25666.2	0.842	0	5	71	recv	1
3	380.7	24.23	5	0	5	1000	1000	8000	71	36154	1.49	0	5	71	recv	1
3	298.4	18.99	5	1	5	1000	1000	8000	71	36154	1.9	0	5	71	recv	1
3	424.5	27.02	5	2	5	1000	1000	8000	71	36154	1.34	0	5	71	recv	1
3	542.8	34.55	5	4	5	1000	1000	8000	71	36154	1.05	0	5	71	recv	1
0	78.54	78.54	5	0	5	25	25	5	4970	24850	0.316	0	5	71	recv	1
0	90.62	90.62	5	1	5	25	25	5	4970	24850	0.274	0	5	71	recv	1
0	79.15	79.15	5	2	5	25	25	5	4970	24850	0.314	0	5	71	recv	1
0	59.71	59.71	5	4	5	25	25	5	4970	24850	0.416	0	5	71	recv	1
0	197.9	197.9	5	0	5	100	100	80	1065	85200	0.43	0	5	71	recv	1
0	233.2	233.2	5	1	5	100	100	80	1065	85200	0.365	0	5	71	recv	1
0	251.3	251.3	5	2	5	100	100	80	1065	85200	0.339	0	5	71	recv	1
0	351.6	351.6	5	4	5	100	100	80	1065	85200	0.242	0	5	71	recv	1
0	189.3	189.3	5	0	5	625	625	3125	142	443750	2.34	0	5	71	recv	1
0	189.2	189.2	5	1	5	625	625	3125	142	443750	2.35	0	5	71	recv	1
0	232.8	232.8	5	2	5	625	625	3125	142	443750	1.91	0	5	71	recv	1
0	228.5	228.5	5	4	5	625	625	3125	142	443750	1.94	0	5	71	recv	1
0	149	149	5	0	5	1000	1000	8000	71	568000	3.81	0	5	71	recv	1
0	193.6	193.6	5	1	5	1000	1000	8000	71	568000	2.93	0	5	71	recv	1
0	241.4	241.4	5	2	5	1000	1000	8000	71	568000	2.35	0	5	71	recv	1
0	236	236	5	4	5	1000	1000	8000	71	568000	2.41	0	5	71	recv	1
2	117.4	5.92	5	0	5	25	25	5	4970	1253.45	0.212	0	5	71	recv	1
2	115.2	5.811	5	1	5	25	25	5	4970	1253.45	0.216	0	5	71	recv	1
2	97.23	4.904	5	2	5	25	25	5	4970	1253.45	0.256	0	5	71	recv	1
2	104.4	5.267	5	4	5	25	25	5	4970	1253.45	0.238	0	5	71	recv	1
2	386.1	19.6	5	0	5	100	100	80	1065	4326	0.221	0	5	71	recv	1
2	381.2	19.36	5	1	5	100	100	80	1065	4326	0.223	0	5	71	recv	1
2	296.8	15.07	5	2	5	100	100	80	1065	4326	0.287	0	5	71	recv	1
2	400.4	20.33	5	4	5	100	100	80	1065	4326	0.213	0	5	71	recv	1
2	320.3	18.53	5	0	5	625	625	3125	142	25666.2	1.39	0	5	71	recv	1
2	376	21.75	5	1	5	625	625	3125	142	25666.2	1.18	0	5	71	recv	1
2	304.5	17.61	5	2	5	625	625	3125	142	25666.2	1.46	0	5	71	recv	1
2	360.2	20.84	5	4	5	625	625	3125	142	25666.2	1.23	0	5	71	recv	1
2	380.1	24.19	5	0	5	1000	1000	8000	71	36154	1.49	0	5	71	recv	1
2	379.4	24.15	5	1	5	1000	1000	8000	71	36154	1.5	0	5	71	recv	1
2	297	18.9	5	2	5	1000	1000	8000	71	36154	1.91	0	5	71	recv	1
2	350	22.28	5	4	5	1000	1000	8000	71	36154	1.62	0	5	71	recv	1
3	117.3	5.915	5	0	5	25	25	5	4970	1253.45	0.212	0	5	71	recv	1
3	112.6	5.678	5	1	5	25	25	5	4970	1253.45	0.221	0	5	71	recv	1
3	95.97	4.841	5	2	5	25	25	5	4970	1253.45	0.259	0	5	71	recv	1
3	73.84	3.724	5	4	5	25	25	5	4970	1253.45	0.337	0	5	71	recv	1
3	282.6	14.35	5	0	5	100	100	80	1065	4326	0.302	0	5	71	recv	1
3	373.3	18.95	5	1	5	100	100	80	1065	4326	0.228	0	5	71	recv	1
3	355.7	18.06	5	2	5	100	100	80	1065	4326	0.24	0	5	71	recv	1
3	492.3	24.99	5	4	5	100	100	80	1065	4326	0.173	0	5	71	recv	1
3	376.8	21.79	5	0	5	625	625	3125	142	25666.2	1.18	0	5	71	recv	1
3	295.5	17.09	5	1	5	625	625	3125	142	25666.2	1.5	0	5	71	recv	1
3	396.6	22.94	5	2	5	625	625	3125	142	25666.2	1.12	0	5	71	recv	1
3	525	30.36	5	4	5	625	625	3125	142	25666.2	0.845	0	5	71	recv	1
3	380.1	24.19	5	0	5	1000	1000	8000	71	36154	1.49	0	5	71	recv	1
3	297.6	18.94	5	1	5	1000	1000	8000	71	36154	1.91	0	5	71	recv	1
3	422.8	26.91	5	2	5	1000	1000	8000	71	36154	1.34	0	5	71	recv	1
3	541.9	34.49	5	4	5	1000	1000	8000	71	36154	1.05	0	5	71	recv	1
