algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	77.01	77.01	5	0	5	25	25	5	4970	24850	0.323	0	0	71	send	1
0	77.1	77.1	5	1	5	25	25	5	4970	24850	0.322	0	0	71	send	1
0	79.75	79.75	5	2	5	25	25	5	4970	24850	0.312	0	0	71	send	1
0	88.08	88.08	5	4	5	25	25	5	4970	24850	0.282	0	0	71	send	1
0	208.6	208.6	5	0	5	100	100	80	1065	85200	0.409	0	0	71	send	1
0	204.1	204.1	5	1	5	100	100	80	1065	85200	0.418	0	0	71	send	1
0	260.6	260.6	5	2	5	100	100	80	1065	85200	0.327	0	0	71	send	1
0	397.7	397.7	5	4	5	100	100	80	1065	85200	0.214	0	0	71	send	1
0	87.78	87.78	5	0	5	625	625	3125	142	443750	5.06	0	0	71	send	1
0	88.06	88.06	5	1	5	625	625	3125	142	443750	5.04	0	0	71	send	1
0	124.8	124.8	5	2	5	625	625	3125	142	443750	3.56	0	0	71	send	1
0	169.5	169.5	5	4	5	625	625	3125	142	443750	2.62	0	0	71	send	1
0	84.78	84.78	5	0	5	1000	1000	8000	71	568000	6.7	0	0	71	send	1
0	84.79	84.79	5	1	5	1000	1000	8000	71	568000	6.7	0	0	71	send	1
0	128	128	5	2	5	1000	1000	8000	71	568000	4.44	0	0	71	send	1
0	174.9	174.9	5	4	5	1000	1000	8000	71	568000	3.25	0	0	71	send	1
2	122.4	6.176	5	0	5	25	25	5	4970	1253.45	0.203	0	0	71	send	1
2	120.3	6.067	5	1	5	25	25	5	4970	1253.45	0.207	0	0	71	send	1
2	102.4	5.167	5	2	5	25	25	5	4970	1253.45	0.243	0	0	71	send	1
2	79.11	3.99	5	4	5	25	25	5	4970	1253.45	0.314	0	0	71	send	1
2	304.9	15.48	5	0	5	100	100	80	1065	4326	0.279	0	0	71	send	1
2	348.7	17.71	5	1	5	100	100	80	1065	4326	0.244	0	0	71	send	1
2	374.1	19	5	2	5	100	100	80	1065	4326	0.228	0	0	71	send	1
2	530.3	26.93	5	4	5	100	100	80	1065	4326	0.161	0	0	71	send	1
2	1008	58.31	5	0	5	625	625	3125	142	25666.2	0.44	0	0	71	send	1
2	1003	58.03	5	1	5	625	625	3125	142	25666.2	0.442	0	0	71	send	1
