algo    eMcon   Mcon    snd_act procs   layers  units   cons    weights cycles  con_trav        secs    nibble
2       626.673 37.6631 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.498665        1
2       597.469 35.9079 5       1       5       625     625     3.125e+06       100     1.87812e+07     0.52304 1
2       463.467 27.8544 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.674266        1
2       569.019 34.198  5       4       5       625     625     3.125e+06       100     1.87812e+07     0.549191        1
2       550.53  37.892  5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.761866        1
2       624.626 42.9919 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.67149 1
2       421.602 29.0181 5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.99485 1
2       493.572 33.9717 5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.849785        1
3       121.504 6.1334  5       0       5       25      25      5000    10000   2.52395e+06     0.411509        1
3       88.9792 4.49158 5       1       5       25      25      5000    10000   2.52395e+06     0.561929        1
3       94.418  4.76632 5       2       5       25      25      5000    10000   2.52405e+06     0.52956 1
3       76.0049 3.83673 5       4       5       25      25      5000    10000   2.524e+06       0.657852        1
3       375.144 18.8819 5       0       5       100     100     80000   2000    8.0532e+06      0.426503        1
3       324.48  16.3319 5       1       5       100     100     80000   2000    8.0532e+06      0.493097        1
3       394.279 19.845  5       2       5       100     100     80000   2000    8.0532e+06      0.405804        1
3       468.749 23.5933 5       4       5       100     100     80000   2000    8.0532e+06      0.341334        1
3       630.356 37.8844 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.495752        1
3       411.816 24.7501 5       1       5       625     625     3.125e+06       100     1.87812e+07     0.758834        1
3       583.851 35.0895 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.535239        1
3       821.18  49.3529 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.38055 1
3       549.463 37.8185 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.763346        1
3       424.888 29.2443 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.987155        1
3       611.752 42.1057 5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.685622        1
3       799.578 55.0334 5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.524565        1
