algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	sndcn	fstprjn	dwtrate
0	73.57	73.57	5	0	5	25	25	5	5000	25000	0.34	0	0	0	50
0	61.71	61.71	5	1	5	25	25	5	5000	25000	0.405	0	0	0	50
0	46.33	46.33	5	2	5	25	25	5	5000	25000	0.54	0	0	0	50
0	48.91	48.91	5	4	5	25	25	5	5000	25000	0.511	0	0	0	50
0	170.4	170.4	5	0	5	100	100	80	1000	80000	0.469	0	0	0	50
0	170.4	170.4	5	1	5	100	100	80	1000	80000	0.469	0	0	0	50
0	104.5	104.5	5	2	5	100	100	80	1000	80000	0.766	0	0	0	50
0	100.9	100.9	5	4	5	100	100	80	1000	80000	0.792	0	0	0	50
0	181.6	181.6	5	0	5	625	625	3125	100	312500	1.72	0	0	0	50
0	234.9	234.9	5	1	5	625	625	3125	100	312500	1.33	0	0	0	50
0	108.8	108.8	5	2	5	625	625	3125	100	312500	2.87	0	0	0	50
0	93.15	93.15	5	4	5	625	625	3125	100	312500	3.35	0	0	0	50
0	230	230	5	0	5	1000	1000	8000	50	400000	1.74	0	0	0	50
0	228.9	228.9	5	1	5	1000	1000	8000	50	400000	1.75	0	0	0	50
0	113	113	5	2	5	1000	1000	8000	50	400000	3.54	0	0	0	50
0	92.9	92.9	5	4	5	1000	1000	8000	50	400000	4.31	0	0	0	50
2	105.7	5.316	5	0	5	25	25	5	5000	1256.8	0.236	0	0	0	50
2	96.07	4.829	5	1	5	25	25	5	5000	1256.8	0.26	0	0	0	50
2	51.33	2.58	5	2	5	25	25	5	5000	1256.8	0.487	0	0	0	50
2	46.53	2.339	5	4	5	25	25	5	5000	1256.8	0.537	0	0	0	50
2	258.6	13.39	5	0	5	100	100	80	1000	4142.4	0.309	0	0	0	50
2	243.5	12.61	5	1	5	100	100	80	1000	4142.4	0.329	0	0	0	50
2	108	5.594	5	2	5	100	100	80	1000	4142.4	0.74	0	0	0	50
2	77.78	4.027	5	4	5	100	100	80	1000	4142.4	1.03	0	0	0	50
2	377.8	22.58	5	0	5	625	625	3125	100	18676.2	0.827	0	0	0	50
2	371.5	22.2	5	1	5	625	625	3125	100	18676.2	0.841	0	0	0	50
2	110.6	6.612	5	2	5	625	625	3125	100	18676.2	2.82	0	0	0	50
2	76.05	4.545	5	4	5	625	625	3125	100	18676.2	4.11	0	0	0	50
2	407	28.14	5	0	5	1000	1000	8000	50	27656	0.983	0	0	0	50
2	398.8	27.57	5	1	5	1000	1000	8000	50	27656	1	0	0	0	50
2	119.6	8.27	5	2	5	1000	1000	8000	50	27656	3.34	0	0	0	50
2	81.64	5.644	5	4	5	1000	1000	8000	50	27656	4.9	0	0	0	50
3	106.3	5.344	5	0	5	25	25	5	5000	1256.8	0.235	0	0	0	50
3	91.8	4.615	5	1	5	25	25	5	5000	1256.8	0.272	0	0	0	50
3	43.77	2.201	5	2	5	25	25	5	5000	1256.8	0.571	0	0	0	50
3	45.9	2.307	5	4	5	25	25	5	5000	1256.8	0.545	0	0	0	50
3	257.3	13.32	5	0	5	100	100	80	1000	4142.4	0.311	0	0	0	50
3	281	14.55	5	1	5	100	100	80	1000	4142.4	0.285	0	0	0	50
3	93.78	4.856	5	2	5	100	100	80	1000	4142.4	0.853	0	0	0	50
3	75.58	3.914	5	4	5	100	100	80	1000	4142.4	1.06	0	0	0	50
3	376.9	22.52	5	0	5	625	625	3125	100	18676.2	0.829	0	0	0	50
3	368.1	22	5	1	5	625	625	3125	100	18676.2	0.849	0	0	0	50
3	106.3	6.355	5	2	5	625	625	3125	100	18676.2	2.94	0	0	0	50
3	84.72	5.063	5	4	5	625	625	3125	100	18676.2	3.69	0	0	0	50
3	406.6	28.11	5	0	5	1000	1000	8000	50	27656	0.984	0	0	0	50
3	395.5	27.34	5	1	5	1000	1000	8000	50	27656	1.01	0	0	0	50
3	123.7	8.55	5	2	5	1000	1000	8000	50	27656	3.23	0	0	0	50
3	83.83	5.796	5	4	5	1000	1000	8000	50	27656	4.77	0	0	0	50
