algo    eMcon   Mcon    snd_act procs   layers  units   cons    weights cycles  con_trav        secs    nibble  sndcn
2       361.853 18.2129 5       1       5       100     100     80000   2000    8.0532e+06      0.442169        1       1
2       444.516 22.3736 5       2       5       100     100     80000   2000    8.0532e+06      0.359942        1       1
2       474.29  23.8722 5       4       5       100     100     80000   2000    8.0532e+06      0.337346        1       1
2       1589.67 95.539  5       0       5       625     625     3.125e+06       100     1.87812e+07     0.196582        1       1
2       1445.51 86.875  5       1       5       625     625     3.125e+06       100     1.87812e+07     0.216187        1       1
2       770.836 46.3272 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.405404        1       1
2       885.776 53.2351 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.352798        1       1
2       1880.3  129.417 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.223066        1       1
2       1707.08 117.495 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.245701        1       1
2       684.648 47.123  5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.612622        1       1
2       941.237 64.7836 5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.445616        1       1
3       94.8691 4.7889  5       0       5       25      25      5000    10000   2.52395e+06     0.527042        1       1
3       87.8292 4.43353 5       1       5       25      25      5000    10000   2.52395e+06     0.569287        1       1
3       94.1226 4.75112 5       2       5       25      25      5000    10000   2.5239e+06      0.531222        1       1
3       62.1298 3.13625 5       4       5       25      25      5000    10000   2.52395e+06     0.804767        1       1
3       405.483 20.409  5       0       5       100     100     80000   2000    8.0532e+06      0.394591        1       1
3       355.669 17.9017 5       1       5       100     100     80000   2000    8.0532e+06      0.449857        1       1
3       440.821 22.1876 5       2       5       100     100     80000   2000    8.0532e+06      0.362959        1       1
3       471.602 23.7369 5       4       5       100     100     80000   2000    8.0532e+06      0.339269        1       1
3       1604.43 96.4264 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.194773        1       1
3       1393.6  83.7551 5       1       5       625     625     3.125e+06       100     1.87812e+07     0.22424 1       1
3       1806.63 108.578 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.172974        1       1
3       1680.21 100.98  5       4       5       625     625     3.125e+06       100     1.87812e+07     0.185989        1       1
3       1881.43 129.495 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.222932        1       1
3       1653.51 113.808 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.25366 1       1
3       2193.3  150.96  5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.191233        1       1
3       2514.33 173.057 5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.166816        1       1
