_H:	$phone	%phone_data[1:0]<1:15>	%phone_data[1:1]	%phone_data[1:2]	%phone_data[1:3]	%phone_data[1:4]	%phone_data[1:5]	%phone_data[1:6]	%phone_data[1:7]	%phone_data[1:8]	%phone_data[1:9]	%phone_data[1:10]	%phone_data[1:11]	%phone_data[1:12]	%phone_data[1:13]	%phone_data[1:14]	%duration	%transition	%qssa	%qssb
_D:	"hv'"	0	42	10	0	5.5	2500	500	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.1	66.6	27.8	33.3	33.3
_D:	"i"	0	60	0	0	5.5	2500	500	1.045	1.565	1.75	0.94	0.68	0.785	1.12	0.1	53.2	27.8	14	14
_D:	"i'"	0	60	0	0	5.5	2500	500	1.045	1.565	1.75	0.94	0.68	0.785	1.12	0.1	76.2	27.8	25.5	25.5
_D:	"in"	0	60	0	0	5.5	2500	500	0.65	0.835	1.15	1.305	1.59	1.59	2.61	1.5	84	27.8	29.4	29.4
_D:	"in'"	0	60	0	0	5.5	2500	500	0.65	0.835	1.15	1.305	1.59	1.59	2.61	1.5	122	27.8	48.4	48.4
_D:	"j"	-2	48	0	0	5.6	2500	2600	1.36	1.74	1.87	0.94	0	0.79	0.79	0.1	93.4	24.2	46.7	46.7
_D:	"j'"	-2	48	0	0	5.6	2500	2600	1.36	1.74	1.87	0.94	0	0.79	0.79	0.1	100	24.2	50	50
_D:	"k"	-10	0	0	0	4.7	2000	2000	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.1	62.8	30	31.4	31.4
_D:	"k'"	-10	0	0	0	4.7	2000	2000	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.1	82.4	30	41.7	41.7
_D:	"kx"	-10	0	0	0	4.7	2000	2000	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.1	87.2	30	43.6	43.6
_D:	"kx'"	-10	0	0	0	4.7	2000	2000	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.1	114.6	30	57.3	57.3
_D:	"l"	0	60	0	0	5.5	2500	500	0.89	1.1	0.97	0.89	0.34	0.29	1.12	0.1	72	22.6	36	36
_D:	"l'"	0	60	0	0	5.5	2500	500	0.89	1.1	0.97	0.89	0.34	0.29	1.12	0.1	84	22.6	42	42
_D:	"ll"	0	60	0	0	5.5	2500	500	0.63	0.47	0.65	1.54	0.45	0.26	1.05	0.1	72	22.6	36	36
_D:	"ll'"	0	60	0	0	5.5	2500	500	0.63	0.47	0.65	1.54	0.45	0.26	1.05	0.1	84	22.6	42	42
_D:	"ls"	0	60	0	0	5.5	2500	500	0.63	0.47	0.65	1.54	0.45	0.26	1.05	0.1	100	22.6	50	50
_D:	"ls'"	0	60	0	0	5.5	2500	500	0.63	0.47	0.65	1.54	0.45	0.26	1.05	0.1	150	22.6	75	75
_D:	"m"	0	60	0	0	5.5	2500	500	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.5	49.8	16	24.8	24.8
_D:	"m'"	0	60	0	0	5.5	2500	500	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.5	94.4	16	47.2	47.2
_D:	"n"	0	60	0	0	5.5	2500	500	1.31	1.49	1.25	1	0.05	1.44	1.31	0.5	50.6	25.7	25.3	25.3
_D:	"n'"	0	60	0	0	5.5	2500	500	1.31	1.49	1.25	1	0.05	1.44	1.31	0.5	66	25.7	33	33
_D:	"ng"	0	60	0	0	5.5	2500	500	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.5	50	28.5	25	25
_D:	"ng'"	0	60	0	0	5.5	2500	500	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.5	68	28.5	34	34
_D:	"o"	0	60	0	0	5.5	2500	500	1	0.925	0.6	1.27	1.83	1.97	1.12	0.1	70.4	27.8	22.6	22.6
_D:	"o'"	0	60	0	0	5.5	2500	500	1	0.93	0.6	1.27	1.83	1.97	1.12	0.1	103.8	27.8	39.3	39.3
_D:	"oh"	0	0	0	0	5.5	2500	500	0.885	0.99	0.81	0.755	1.045	1.225	1.12	0.1	37.8	27.8	5	5
_D:	"oh'"	0	0	0	0	5.5	2500	500	0.885	0.99	0.81	0.755	1.045	1.225	1.12	0.1	41.8	27.8	7	7
_D:	"on"	0	60	0	0	5.5	2500	500	1	0.925	0.6	1.265	1.83	1.965	1.12	1.5	70.4	27.8	22.6	22.6
_D:	"on'"	0	60	0	0	7	2000	1000	1	0.925	0.6	1.265	1.83	1.965	1.12	1.5	103.8	27.8	39.3	39.3
_D:	"ov"	0	60	0	0	5.5	2500	500	0.885	0.99	0.81	0.755	1.045	1.225	1.12	0.1	37.8	27.8	5	5
_D:	"ov'"	0	60	0	0	5.5	2500	500	0.885	0.99	0.81	0.755	1.045	1.225	1.12	0.1	41.8	27.8	7	7
_D:	"p"	-10	0	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	76	18.3	38	38
_D:	"p'"	-10	0	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	81.6	18.3	40.8	40.8
_D:	"ph"	-1	0	0	24	7	864	3587	0.89	0.99	0.81	0.6	0.52	0.71	0.24	0.1	100	18.3	50	50
_D:	"ph'"	-1	0	0	24	7	864	3587	0.89	0.99	0.81	0.6	0.52	0.71	0.24	0.1	126	18.3	63	63
_D:	"px"	-10	0	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	89.4	18.3	44.7	44.7
_D:	"px'"	-10	0	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	116.2	18.3	58.1	58.1
_D:	"q"	0	0	0	0	5.5	2500	500	0.89	0.99	0.81	0.76	1.05	1.23	0.01	0.1	18	6	6	6
_D:	"q'"	0	0	0	0	5.5	2500	500	0.89	0.99	0.81	0.76	1.05	1.23	0.01	0.1	21	7	7	7
_D:	"qc"	-2	0	0	0	5.6	2500	2600	1.36	1.74	1.87	0.94	0.1	0.79	0.79	0.1	6	2	2	2
_D:	"qc'"	-2	0	0	0	5.6	2500	2600	1.36	1.74	1.87	0.94	0.1	0.79	0.79	0.1	6	2	2	2
_D:	"qk"	-10	0	0	0	4.7	2000	2000	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.1	6	2	2	2
_D:	"qk'"	-10	0	0	0	4.7	2000	2000	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.1	6	2	2	2
_D:	"qp"	-10	0	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	6	2	2	2
_D:	"qp'"	-10	0	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	6	2	2	2
_D:	"qs"	0	0	0	0	5.8	5500	500	1.31	1.49	1.25	0.9	0.2	0.4	1.31	0.1	6	2	2	2
_D:	"qs'"	0	0	0	0	5.8	5500	500	1.31	1.49	1.25	0.9	0.2	0.4	1.31	0.1	6	2	2	2
_D:	"qt"	-10	0	0	0	7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	6	2	2	2
_D:	"qt'"	-10	0	0	0	7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	6	2	2	2
_D:	"qz"	-1	0	0	0	5.8	5500	500	1.31	1.49	1.25	0.9	0.2	0.6	1.31	0.1	6	2	2	2
_D:	"qz'"	-1	0	0	0	5.8	5500	500	1.31	1.49	1.25	0.9	0.2	0.6	1.31	0.1	6	2	2	2
_D:	"r"	0	60	0	0	5.5	2500	500	1.31	0.73	1.07	2.12	0.47	1.78	0.65	0.1	40.4	40	20.2	20.2
_D:	"r'"	0	60	0	0	5.5	2500	500	1.31	0.73	1.07	2.12	0.47	1.78	0.65	0.1	70.8	40	35.4	35.4
_D:	"rr"	0	60	0	0	5.5	2500	500	1.31	0.73	1.31	2.12	0.63	1.78	0.65	0.1	40.4	40	20.2	20.2
_D:	"rr'"	0	60	0	0	5.5	2500	500	1.31	0.73	1.31	2.12	0.63	1.78	0.65	0.1	70.8	40	35.4	35.4
_D:	"s"	0	0	0	0.8	5.8	5500	500	1.31	1.49	1.25	0.9	0.2	0.4	1.31	0.1	78.2	29.6	39.1	39.1
